Page,Edits,Editors,Views
"Амстердам",?,?,10877
"Фауст (Гете)",?,?,10869
"Чумацький Шлях",?,?,10868
"Громадянське суспільство",?,?,10820
"Краснов Загід Геннадійович",?,?,10793
"Штучний інтелект",?,?,10779
"Програмне забезпечення",?,?,10746
"Масонство",?,?,10707
"Дерек Чісора",?,?,10692
"Мітохондрія",?,?,10690
"Економіка",?,?,10655
"Тичина Павло Григорович",?,?,10637
"Інформаційні технології",?,?,10617
"Рильський Максим Тадейович",?,?,10582
"Якобінська диктатура",?,?,10568
"Сірка",?,?,10554
"Обрядові та обрядово-календарні пісні",?,?,10541
"Пандемія коронавірусної хвороби 2019",?,?,10537
"Жінки в Першій світовій війні",?,?,10523
"Похибка вимірювання",?,?,10509
"Речовина",?,?,10505
"Лібералізм",?,?,10503
"Європейський суд з прав людини",?,?,10496
"Психологія",?,?,10474
"Telegram",?,?,10465
"Канада",?,?,10461
"Природна зона",?,?,10457
"Петро Конашевич-Сагайдачний",?,?,10450
"Верховна Рада України",?,?,10442
"Члени речення",?,?,10440
"Риторика",?,?,10438
"Цитоплазма",?,?,10405
"Запозичені слова в українській мові",?,?,10396
"Електроліти",?,?,10384
"Історія України",?,?,10382
"Національна поліція України",?,?,10377
"Езоп",?,?,10371
"Гідра (рід)",?,?,10367
"Глобалізація",?,?,10338
"Хромосома",?,?,10330
"Прислівник",?,?,10314
"Неолітична революція",?,?,10303
"Сузір'я",?,?,10298
"Адам Міцкевич",?,?,10291
"Економіка Німеччини",?,?,10274
"Метали",?,?,10269
"Реалізм",?,?,10220
"Among Us",?,?,10219
"Юридична особа",?,?,10216
"Політичний режим",?,?,10216
"Переклади Біблії українською мовою",?,?,10206
"Ернст Теодор Амадей Гофман",?,?,10203
"Франц Кафка",?,?,10191
"Масштаб",?,?,10171
"Фільварок",?,?,10152
"Склад Конституційного Суду України",?,?,10152
"Магніт",?,?,10126
"Список країн Європи за площею",?,?,10124
"Гуманізм",?,?,10106
"Дніпро",?,?,10094
"Часовий пояс",?,?,10085
"Парі-Матч",?,?,10082
"Список областей України за площею",?,?,10065
"Органи державної влади",?,?,10027
"Кісткова тканина",?,?,10026
"Одеса",?,?,10018
"Англійська мова",?,?,10015
"Інтернет речей",?,?,10009
"Науковий стиль мовлення",?,?,9997
"Віроїд",?,?,9997
"Єлизавета II",?,?,9991
"Агрегатний стан",?,?,9986
"Нервова система",?,?,9978
"Петлюра Симон Васильович",?,?,9964
"Руська Правда",?,?,9948
"Список президентів США",?,?,9947
"Симбіоз",?,?,9939
"Союз визволення України",?,?,9923
"Мая (цивілізація)",?,?,9914
"Європа",?,?,9903
"Синютка Олег Михайлович",?,?,9899
"Українські прізвища",?,?,9894
"І будуть люди (телесеріал)",?,?,9891
"Одіссея",?,?,9890
"Літопис",?,?,9868
"Коронавірусна хвороба 2019",?,?,9858
"Залізо",?,?,9852
"Правопорушення",?,?,9847
"Дніпро (місто)",?,?,9799
"Слов'яни",?,?,9796
"Фотосинтез",?,?,9792
"Українська Радянська Соціалістична Республіка",?,?,9770
"Вагіф Алієв",?,?,9762
"Іслам",?,?,9751
"Унітарна держава",?,?,9751
"Збірна України з футболу",?,?,9750
"Скелет людини",?,?,9742
"Місцеве самоврядування в Україні",?,?,9733
"Модернізм",?,?,9729
"Спирти",?,?,9728
"Галицька битва",?,?,9728
"Шарій Анатолій Анатолійович",?,?,9709
"Реєстрове козацтво",?,?,9662
"Антична література",?,?,9656
"Декларація прав людини і громадянина",?,?,9654
"Причини Першої світової війни",?,?,9650
"Шухевич Роман Осипович",?,?,9622
"Список країн за ВВП (номінал)",?,?,9620
"Костенко Ліна Василівна",?,?,9600
"Алюміній",?,?,9591
"Генріх Гейне",?,?,9570
"Шевченко Андрій Миколайович",?,?,9568
"Міста України (за населенням)",?,?,9556
"Кріпацтво",?,?,9550
"Список країн світу",?,?,9534
"Реєстраційний номер облікової картки платника податків",?,?,9532
"Берестейський мир",?,?,9479
"Naspers",?,?,9471
"Інтернет",?,?,9469
"Піхва жінки",?,?,9463
"Інформаційна система",?,?,9453
"Прості речовини",?,?,9443
"Християнство",?,?,9437
"Рукавичка (балада)",?,?,9407
"Методи біологічних досліджень",?,?,9404
"Байка",?,?,9404
"Норвегія",?,?,9403
"Хронологія Першої світової війни",?,?,9398
"Пушкін Олександр Сергійович",?,?,9393
"Директорія Української Народної Республіки",?,?,9391
"Івано-Франківськ",?,?,9386
"Канабіс",?,?,9378
"Транснаціональна корпорація",?,?,9373
"Гроші",?,?,9366
"Маскарад (телешоу)",?,?,9353
"Епітелій",?,?,9352
"Жири",?,?,9339
"Ринкова економіка",?,?,9337
"Бароко",?,?,9336
"Японія",?,?,9333
"Міфологія",?,?,9331
"Кутова швидкість",?,?,9327
"Група періодичної системи",?,?,9324
"Давньогрецька міфологія",?,?,9316
"Ацтеки",?,?,9315
"Інформаційна безпека",?,?,9312
"Конфлікт",?,?,9312
"Культура Стародавнього Єгипту",?,?,9310
"Прискорення вільного падіння",?,?,9309
"Кріштіану Роналду",?,?,9303
"Місто (роман)",?,?,9296
"Марченко Оксана Михайлівна",?,?,9292
"Океан",?,?,9288
"Державна влада",?,?,9282
"Список країн за населенням",?,?,9260
"Українська греко-католицька церква",?,?,9245
"Склад злочину",?,?,9216
"Економіка Франції",?,?,9200
"Monobank",?,?,9195
"Джо Байден",?,?,9183
"2020",?,?,9181
"Єгипетські піраміди",?,?,9171
"Роксолана",?,?,9162
"БРСМ-Нафта",?,?,9138
"Кишковопорожнинні",?,?,9133
"Скоропадський Павло Петрович",?,?,9131
"Яновський Юрій Іванович",?,?,9125
"Чума",?,?,9124
"Вільшаний король (балада)",?,?,9104
"Друга Карабаська війна",?,?,9095
"Суспільство",?,?,9094
"Паперовий будинок (телесеріал)",?,?,9073
"Азот",?,?,9073
"Інки",?,?,9070
"Біологічна класифікація",?,?,9066
"Христофор Колумб",?,?,9065
"Нідерланди",?,?,9049
"2019",?,?,9044
"Марс (планета)",?,?,9027
"Литовські Статути",?,?,9019
"Дмитро Вишневецький",?,?,9010
"Судова система України",?,?,9008
"Товариство з обмеженою відповідальністю",?,?,8986
"Голодомор в Україні (1932—1933)",?,?,8969
"Розподіл державної влади",?,?,8958
"Символізм",?,?,8949
"Правовідносини",?,?,8943
"Фашизм",?,?,8941
"Мистецтво",?,?,8912
"Лисиця звичайна",?,?,8902
"Бензен",?,?,8901
"Список битв та військових операцій Першої світової війни",?,?,8877
"Мораль",?,?,8856
"Займенник",?,?,8853
"Minecraft",?,?,8845
"Каденюк Леонід Костянтинович",?,?,8831
"Урбанізація",?,?,8827
"Шрі-Ланка",?,?,8826
"Харків",?,?,8808
"Екологія",?,?,8803
"Інтроверсія — екстраверсія",?,?,8797
"Магнітна буря",?,?,8793
"Електричний опір",?,?,8789
"GIF",?,?,8787
"Історія",?,?,8757
"Стародавня Греція",?,?,8753
"Економіка Бельгії",?,?,8752
"Євангеліє",?,?,8742
"Список хімічних елементів",?,?,8739
"День працівників освіти",?,?,8738
"Дієслово",?,?,8723
"Тіна Кароль",?,?,8707
"Чи не той то хміль...",?,?,8703
"Казка",?,?,8693
"Test",?,?,8651
"Ілон Маск",?,?,8631
"Палеоліт",?,?,8625
"Сільське господарство",?,?,8622
"Айвенго",?,?,8611
"Сталий розвиток",?,?,8581
"Російська імперія",?,?,8578
"Pontiac GTO",?,?,8574
"Ахіллес",?,?,8558
"Історія української мови",?,?,8532
"Порошенко Марина Анатоліївна",?,?,8530
"Попов Олександр Павлович",?,?,8503
"Релігія",?,?,8497
"Дієприкметник",?,?,8494
"Президент України",?,?,8487
"Леонардо да Вінчі",?,?,8484
"Linux",?,?,8478
"Анемія",?,?,8478
"Кропивницький",?,?,8446
"Кунілінгус",?,?,8440
"Історичне джерело",?,?,8423
"Мітоз",?,?,8421
"Локдаун",?,?,8419
"Однорідні члени речення",?,?,8412
"Mouse Genome Informatics",?,?,8405
"Притча про блудного сина",?,?,8383
"Міста України (за алфавітом)",?,?,8381
"Австрія",?,?,8365
"IOS",?,?,8363
"Рибосома",?,?,8356
"Володимир Мономах",?,?,8355
"Список позначень у фізиці",?,?,8341
"Коронавірусна хвороба 2019 в Україні",?,?,8326
"Роберт Луїс Стівенсон",?,?,8317
"Медичний канабіс",?,?,8315
"Сталін Йосип Віссаріонович",?,?,8310
"Данія",?,?,8306
"Платон",?,?,8302
"Алкени",?,?,8292
"Оргазм",?,?,8291
"Кам'яна доба",?,?,8289
"Енеїда (Котляревський)",?,?,8288
"Сократ",?,?,8258
"Водень",?,?,8248
"Російська революція (1917)",?,?,8245
"Мойсей",?,?,8244
"Магнітне поле Землі",?,?,8235
"Наука",?,?,8228
"Знаки зодіаку",?,?,8224
"Січові Стрільці",?,?,8220
"Час в Україні",?,?,8214
"Комп'ютерний вірус",?,?,8210
"Французька революція",?,?,8201
"Всеукраїнське об'єднання «Свобода»",?,?,8201
"Мовна норма",?,?,8195
"Болбочан Петро Федорович",?,?,8193
"Південно-Африканська Республіка",?,?,8189
"Шістдесятники",?,?,8187
"Кіт свійський",?,?,8184
"Вакуоля",?,?,8184
"Google Classroom",?,?,8175
"Закони Хаммурапі",?,?,8169
"Молюски",?,?,8158
"Угорщина",?,?,8152
"Козацькі повстання",?,?,8147
"Доцентрове прискорення",?,?,8125
"Маркетинг",?,?,8116
"Економічна теорія",?,?,8115
"Чехія",?,?,8096
"Солі (хімія)",?,?,8093
"Документ",?,?,8091
"Екзистенціалізм",?,?,8090
"Пульсоксиметр",?,?,8089
"Сонце",?,?,8087
"Індія",?,?,8075
"Вуглець",?,?,8060
"Неологізм",?,?,8052
"Антанта",?,?,8051
"Червоне і чорне",?,?,8049
"Європейська Солідарність",?,?,8041
"Bayraktar TB2",?,?,8024
"Плужник Євген Павлович",?,?,8019
"Цукор",?,?,8008
"Четвертий Універсал Української Центральної Ради",?,?,7998
"Соціалізація",?,?,7997
"Травлення",?,?,7966
"Іонний зв'язок",?,?,7966
"Географічний центр України",?,?,7961
"Податок на додану вартість",?,?,7954
"Радянсько-українська війна",?,?,7950
"Західноукраїнська Народна Республіка",?,?,7945
"Кабінет Міністрів України",?,?,7940
"Водневий зв'язок",?,?,7940
"Підприємництво",?,?,7938
"Москва",?,?,7922
"Вовк",?,?,7922
"Білий гриб",?,?,7914
"Лемюель Гулівер",?,?,7904
"Нацизм",?,?,7896
"Капіталізм",?,?,7896
"Булгаков Михайло Опанасович",?,?,7889
"Загальна декларація прав людини",?,?,7888
"Декабристи",?,?,7882
"Інфляція",?,?,7874
"Іспанія",?,?,7874
"Руська трійця",?,?,7868
"Антонім",?,?,7865
"Полісахариди",?,?,7854
"Спинний мозок",?,?,7853
"Державний суверенітет",?,?,7851
"Модерн (мистецтво)",?,?,7850
"Рижик смачний",?,?,7848
"День автомобіліста і дорожника",?,?,7846
"Костянтин Василь Острозький",?,?,7833
"Експеримент CBM",?,?,7833
"Діалектика",?,?,7832
"Буддизм",?,?,7830
"Халіфат",?,?,7821
"Мануфактура",?,?,7820
"Піраміда потреб Абрагама Маслоу",?,?,7820
"Жовтневий переворот",?,?,7820
"Дексаметазон",?,?,7813
"Помста княгині Ольги древлянам",?,?,7810
"Марксизм",?,?,7802
"Прийменник",?,?,7800
"Депутатська група «Довіра»",?,?,7799
"Ілля Муромець",?,?,7791
"Людина",?,?,7788
"Протестантизм",?,?,7786
"Функції мови",?,?,7784
"Опеньок осінній справжній",?,?,7769
"Волт Вітмен",?,?,7758
"Вороний Микола Кіндратович",?,?,7752
"Юлія Саніна",?,?,7740
"Гіпербола (література)",?,?,7736
"Череп",?,?,7736
"Консерватизм",?,?,7733
"Нейрон",?,?,7731
"Хрущов Микита Сергійович",?,?,7729
"Православна церква України",?,?,7723
"Шляхта",?,?,7721
"Електродвигун",?,?,7718
"Третяк Олександр Віталійович",?,?,7694
"Населення Землі",?,?,7692
"Інфузорія-туфелька",?,?,7688
"Ngx-bootstrap",?,?,7687
"Демократична Сокира",?,?,7685
"Львівська область",?,?,7682
"Теорія держави і права",?,?,7681
"Електронна пошта",?,?,7680
"Дихання",?,?,7679
"Вітамін C",?,?,7670
"Сифіліс",?,?,7665
"Свідомість",?,?,7664
"Генеральний секретаріат Української Центральної Ради",?,?,7663
"Київські князі",?,?,7661
"Політична партія",?,?,7652
"Індекс людського розвитку",?,?,7650
"Візантійська культура",?,?,7650
"Петро Могила",?,?,7650
"Мідь",?,?,7643
"Коваленко Анна Миколаївна",?,?,7636
"Юпітер (планета)",?,?,7622
"Церковні братства",?,?,7620
"Путін Володимир Володимирович",?,?,7618
"Фреймут Ольга Михайлівна",?,?,7617
"Молодіжні субкультури",?,?,7615
"Рівномірний рух",?,?,7610
"Адміністративне право",?,?,7605
"Темперамент",?,?,7600
"Сектор економіки",?,?,7600
"Перевтілення (оповідання)",?,?,7599
"Екологічні фактори",?,?,7597
"Група крові",?,?,7592
"Суглоб",?,?,7582
"Структура бактеріальної клітини",?,?,7568
"Індустріальне суспільство",?,?,7554
"Соціологія",?,?,7548
"Поділ клітини",?,?,7541
"Натуральні числа",?,?,7540
"Кернес Геннадій Адольфович",?,?,7528
"Конституційне право України",?,?,7519
"Велике переселення народів",?,?,7513
"Остап Вишня",?,?,7513
"Юстиніан I",?,?,7513
"Лужні метали",?,?,7510
"Нова економічна політика",?,?,7496
"Черкаси (фільм)",?,?,7496
"Електричний генератор",?,?,7496
"Кобзар (збірка)",?,?,7493
"Галичина під час російської окупації (1914—1915)",?,?,7490
"Дональд Трамп",?,?,7490
"Олімпійські ігри",?,?,7488
"Ґрунт",?,?,7482
"Гемоглобін",?,?,7463
"Постіндустріальне суспільство",?,?,7461
"Достоєвський Федір Михайлович",?,?,7420
"Етанол",?,?,7410
"Прикметник",?,?,7405
"Українська Держава",?,?,7399
"Джерело права",?,?,7394
"Кров",?,?,7386
"Дифтерія",?,?,7386
"Хлор",?,?,7385
"Голодомор в Україні (1946—1947)",?,?,7373
"Межиріччя",?,?,7358
"Чорнобильська катастрофа",?,?,7357
"Географічний центр Європи",?,?,7347
"Шизофренія",?,?,7336
"Третинний сектор економіки",?,?,7334
"Сім чудес світу",?,?,7321
"Політична система",?,?,7320
"Сила",?,?,7310
"Мова",?,?,7309
"Імунна система",?,?,7303
"Вінниця",?,?,7301
"Неклітинні форми життя",?,?,7299
"Природа",?,?,7298
"Мовознавство",?,?,7292
"Мартін Лютер Кінг",?,?,7289
"Географія",?,?,7285
"Асиміляція",?,?,7284
"Динамо (Київ)",?,?,7281
"Фосфор",?,?,7280
"Apple Inc.",?,?,7273
"Країни, що розвиваються",?,?,7272
"Податок",?,?,7269
"Комп'ютерна мережа",?,?,7268
"Конституція",?,?,7262
"Русалка Дністровая",?,?,7261
"Холера",?,?,7259
"Неоліт",?,?,7257
"Економіка Швейцарії",?,?,7249
"Переміщення",?,?,7247
"План Маршалла",?,?,7242
"Мистецтво Стародавнього Єгипту",?,?,7240
"Західний фронт (Перша світова війна)",?,?,7231
"Спіймати Кайдаша",?,?,7224
"Сульфатна кислота",?,?,7218
"Неметали",?,?,7217
"Таблиця математичних символів",?,?,7205
"Фенетилін",?,?,7201
"Первісна культура",?,?,7197
"Швеція",?,?,7196
"Гуманізм епохи Відродження",?,?,7181
"Справа Василя Стуса (книга)",?,?,7180
"Сага (телесеріал)",?,?,7176
"Інтелектуальна власність",?,?,7172
"Список українських народних пісень",?,?,7171
"Сатурн (планета)",?,?,7161
"Клітинна теорія",?,?,7157
"Загородній Анатолій Глібович",?,?,7148
"Адміністративне правопорушення",?,?,7147
"Створення світу в Біблії",?,?,7129
